x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.42,0.51,1,0.667223,0.748,0.655209,0.733,0.495354,0.631,0.546924,0.672,0.083734,0.163,0.009291,0.047
0.42,0.51,2,0.791566,0.841,0.757277,0.828,0.514345,0.644,0.604856,0.700,0.238088,0.322,0.032876,0.093
0.42,0.51,3,0.870996,0.914,0.819247,0.876,0.559560,0.686,0.660083,0.748,0.391821,0.459,0.065843,0.139
0.42,0.51,4,0.920805,0.949,0.858546,0.910,0.648942,0.763,0.711226,0.789,0.522957,0.594,0.104699,0.189
0.42,0.51,5,0.951616,0.972,0.884759,0.927,0.774275,0.854,0.757354,0.820,0.628131,0.686,0.146915,0.228
0.42,0.51,6,0.970525,0.982,0.903123,0.937,0.885660,0.927,0.798001,0.848,0.710232,0.763,0.190660,0.277
0.42,0.51,7,0.982075,0.987,0.916564,0.950,0.951199,0.971,0.833115,0.876,0.773624,0.817,0.234619,0.325
0.42,0.51,8,0.989111,0.993,0.926774,0.955,0.980926,0.986,0.862954,0.900,0.822434,0.851,0.277868,0.364
0.41,0.56,1,0.689075,0.755,0.677114,0.752,0.526946,0.636,0.576341,0.666,0.087787,0.160,0.009889,0.046
0.41,0.56,2,0.805137,0.846,0.772989,0.830,0.544874,0.654,0.631566,0.712,0.246740,0.328,0.034920,0.091
0.41,0.56,3,0.879500,0.915,0.831068,0.871,0.587508,0.690,0.684152,0.758,0.402767,0.469,0.069739,0.139
0.41,0.56,4,0.926063,0.951,0.867853,0.905,0.671593,0.758,0.732846,0.797,0.534593,0.589,0.110524,0.185
0.41,0.56,5,0.954843,0.972,0.892371,0.930,0.789135,0.841,0.776780,0.829,0.639733,0.687,0.154530,0.233
0.41,0.56,6,0.972496,0.980,0.909540,0.939,0.893305,0.924,0.815501,0.859,0.721570,0.765,0.199800,0.279
0.41,0.56,7,0.983275,0.989,0.922101,0.948,0.954489,0.969,0.848933,0.886,0.784653,0.813,0.244962,0.321
0.41,0.56,8,0.989840,0.993,0.931640,0.954,0.982216,0.989,0.877293,0.906,0.833144,0.863,0.289086,0.361
0.42,0.57,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.984455,1.000,0.153478,0.246,0.019042,0.073
0.42,0.57,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.988065,1.000,0.394350,0.457,0.066662,0.148
0.42,0.57,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.990982,1.000,0.594743,0.625,0.131492,0.223
0.42,0.57,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.993284,1.000,0.737067,0.749,0.205275,0.295
0.42,0.57,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.995062,1.000,0.831876,0.838,0.282167,0.364
0.42,0.57,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.996409,1.000,0.893183,0.897,0.358186,0.423
0.42,0.57,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.997414,1.000,0.932271,0.933,0.430760,0.487
0.42,0.57,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.998152,1.000,0.957041,0.960,0.498349,0.549
0.39,0.47,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.983439,1.000,0.153260,0.242,0.019039,0.075
0.39,0.47,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.986505,1.000,0.393489,0.454,0.066637,0.149
0.39,0.47,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.989219,1.000,0.593270,0.627,0.131394,0.223
0.39,0.47,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.991544,1.000,0.735254,0.752,0.205036,0.294
0.39,0.47,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.993476,1.000,0.829995,0.833,0.281716,0.361
0.39,0.47,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.995040,1.000,0.891417,0.895,0.357464,0.430
0.39,0.47,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.996277,1.000,0.930718,0.931,0.429722,0.485
0.39,0.47,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.997235,1.000,0.955734,0.954,0.496975,0.534
0.43,0.40,1,0.661181,0.732,0.667973,0.728,0.561854,0.626,0.597226,0.669,0.091118,0.164,0.010592,0.046
0.43,0.40,2,0.810718,0.824,0.806482,0.815,0.580912,0.647,0.638600,0.717,0.249059,0.318,0.037283,0.094
0.43,0.40,3,0.900082,0.889,0.858191,0.844,0.625223,0.678,0.677809,0.750,0.397322,0.461,0.074114,0.139
0.43,0.40,4,0.939386,0.908,0.890105,0.855,0.708893,0.757,0.714326,0.777,0.517844,0.576,0.116798,0.185
0.43,0.40,5,0.963232,0.896,0.911039,0.921,0.818837,0.842,0.747823,0.801,0.611186,0.661,0.162272,0.233
0.43,0.40,6,0.977698,0.949,0.925543,0.936,0.910609,0.920,0.778159,0.828,0.682583,0.746,0.208387,0.280
0.43,0.40,7,0.986472,0.989,0.936077,0.937,0.962394,0.974,0.805353,0.856,0.737431,0.786,0.253681,0.325
0.43,0.40,8,0.991795,0.993,0.944033,0.950,0.985394,0.985,0.829534,0.872,0.780099,0.824,0.297200,0.366
0.44,0.75,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.985523,1.000,0.146985,0.237,0.018980,0.075
0.44,0.75,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.989609,1.000,0.368639,0.435,0.065907,0.146
0.44,0.75,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.992596,1.000,0.550384,0.588,0.128570,0.220
0.44,0.75,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.994743,1.000,0.681659,0.700,0.198198,0.285
0.44,0.75,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.996273,1.000,0.773212,0.784,0.268905,0.347
0.44,0.75,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.997361,1.000,0.836775,0.845,0.337038,0.409
0.44,0.75,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.998135,1.000,0.881225,0.885,0.400560,0.461
0.44,0.75,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.998685,1.000,0.912667,0.914,0.458530,0.509
0.50,0.05,1,0.330801,0.768,0.341470,0.782,0.185200,0.683,0.252419,0.709,0.032524,0.156,0.003294,0.049
0.50,0.05,2,0.593913,0.889,0.585435,0.885,0.211844,0.711,0.338239,0.747,0.100686,0.277,0.011719,0.100
0.50,0.05,3,0.775340,0.944,0.687887,0.926,0.276940,0.771,0.425039,0.781,0.178963,0.368,0.023657,0.146
0.50,0.05,4,0.861014,0.973,0.754151,0.950,0.411768,0.862,0.506904,0.807,0.256046,0.428,0.037984,0.185
0.50,0.05,5,0.914699,0.985,0.798871,0.980,0.612365,0.948,0.580426,0.837,0.327371,0.482,0.053891,0.218
0.50,0.05,6,0.947893,0.992,0.830439,0.991,0.799928,0.986,0.644345,0.869,0.391500,0.521,0.070785,0.257
0.50,0.05,7,0.968260,0.998,0.853664,0.994,0.913754,0.997,0.698753,0.881,0.448391,0.567,0.088229,0.281
0.50,0.05,8,0.980699,1.000,0.871373,0.996,0.966146,1.000,0.744431,0.899,0.498570,0.594,0.105902,0.309
0.29,0.60,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.983188,1.000,0.148457,0.240,0.018994,0.074
0.29,0.60,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.985871,1.000,0.374624,0.440,0.066074,0.147
0.29,0.60,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.988192,1.000,0.561056,0.596,0.129213,0.220
0.29,0.60,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.990185,1.000,0.695524,0.716,0.199747,0.285
0.29,0.60,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.991883,1.000,0.788573,0.799,0.271794,0.350
0.29,0.60,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.993316,1.000,0.852306,0.853,0.341626,0.409
0.29,0.60,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.994520,1.000,0.896057,0.900,0.407090,0.468
0.29,0.60,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.995524,1.000,0.926301,0.930,0.467122,0.520
0.44,0.37,1,0.654065,0.731,0.660557,0.719,0.561854,0.632,0.593672,0.668,0.090661,0.161,0.010626,0.045
0.44,0.37,2,0.792664,0.810,0.807346,0.804,0.580912,0.637,0.631998,0.701,0.246353,0.308,0.037356,0.094
0.44,0.37,3,0.900528,0.886,0.858824,0.835,0.625223,0.665,0.668723,0.732,0.391540,0.457,0.074137,0.136
0.44,0.37,4,0.939657,0.907,0.890596,0.816,0.708893,0.741,0.703324,0.766,0.509227,0.570,0.116612,0.186
0.44,0.37,5,0.963396,0.867,0.911436,0.858,0.818837,0.835,0.735438,0.796,0.600432,0.663,0.161682,0.228
0.44,0.37,6,0.977797,0.828,0.925875,0.928,0.910609,0.914,0.764868,0.814,0.670443,0.729,0.207197,0.271
0.44,0.37,7,0.986533,0.877,0.936362,0.938,0.962394,0.963,0.791558,0.838,0.724540,0.770,0.251717,0.323
0.44,0.37,8,0.991832,0.992,0.944283,0.945,0.985394,0.985,0.815566,0.854,0.766935,0.809,0.294326,0.358
0.27,0.36,1,0.666495,0.761,0.653869,0.760,0.502119,0.637,0.595964,0.704,0.086353,0.163,0.009329,0.046
0.27,0.36,2,0.789882,0.844,0.755556,0.821,0.520529,0.644,0.686946,0.782,0.250269,0.329,0.033131,0.093
0.27,0.36,3,0.869674,0.910,0.817646,0.866,0.564496,0.682,0.763875,0.828,0.416709,0.476,0.066693,0.140
0.27,0.36,4,0.919892,0.952,0.857142,0.898,0.651909,0.753,0.825656,0.870,0.559449,0.610,0.106698,0.190
0.27,0.36,5,0.951022,0.969,0.883537,0.925,0.775418,0.842,0.873322,0.907,0.672971,0.705,0.150724,0.237
0.27,0.36,6,0.970150,0.981,0.902050,0.932,0.885938,0.919,0.909007,0.932,0.759709,0.772,0.196976,0.284
0.27,0.36,7,0.981842,0.987,0.915611,0.944,0.951248,0.968,0.935139,0.948,0.824473,0.828,0.244118,0.330
0.27,0.36,8,0.988967,0.993,0.925919,0.952,0.980933,0.988,0.953979,0.962,0.872173,0.878,0.291156,0.377
0.31,0.40,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.981940,1.000,0.149358,0.240,0.019002,0.073
0.31,0.40,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.984027,1.000,0.378197,0.447,0.066179,0.149
0.31,0.40,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.986200,1.000,0.567250,0.606,0.129617,0.222
0.31,0.40,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.988321,1.000,0.703319,0.718,0.200723,0.293
0.31,0.40,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.990289,1.000,0.796903,0.808,0.273619,0.354
0.31,0.40,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.992047,1.000,0.860402,0.864,0.344528,0.413
0.31,0.40,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.993568,1.000,0.903466,0.908,0.411224,0.471
0.31,0.40,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.994852,1.000,0.932816,0.931,0.472564,0.525
0.24,0.38,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.980807,1.000,0.145129,0.236,0.018962,0.074
0.24,0.38,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.981989,1.000,0.361434,0.434,0.065686,0.148
0.24,0.38,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.983515,1.000,0.538092,0.581,0.127718,0.216
0.24,0.38,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.985230,1.000,0.666387,0.684,0.196152,0.285
0.24,0.38,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.986998,1.000,0.757075,0.769,0.265104,0.348
0.24,0.38,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.988717,1.000,0.821267,0.827,0.331028,0.404
0.24,0.38,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.990317,1.000,0.867190,0.868,0.392044,0.460
0.24,0.38,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.991765,1.000,0.900462,0.898,0.447382,0.503
0.34,0.13,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.978475,1.000,0.135676,0.225,0.018871,0.074
0.34,0.13,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.977375,1.000,0.323416,0.393,0.064592,0.146
0.34,0.13,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.976879,1.000,0.469830,0.523,0.123554,0.213
0.34,0.13,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.976945,1.000,0.575832,0.606,0.186257,0.276
0.34,0.13,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.977461,1.000,0.653578,0.674,0.246922,0.331
0.34,0.13,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.978298,1.000,0.712470,0.723,0.302564,0.375
0.34,0.13,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.979340,1.000,0.758493,0.772,0.352058,0.415
0.34,0.13,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.980496,1.000,0.795368,0.801,0.395369,0.457
0.25,0.95,1,0.995493,1.000,0.995304,1.000,0.980435,1.000,0.983818,1.000,0.123482,0.215,0.018750,0.074
0.25,0.95,2,0.993832,1.000,0.992752,1.000,0.981289,1.000,0.986518,1.000,0.274759,0.353,0.063154,0.144
0.25,0.95,3,0.990594,1.000,0.986651,1.000,0.983276,1.000,0.988473,1.000,0.380818,0.437,0.118178,0.207
0.25,0.95,4,0.984955,1.000,0.999019,1.000,0.987021,1.000,0.989967,1.000,0.452987,0.502,0.173759,0.266
0.25,0.95,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.991201,1.000,0.505240,0.543,0.224458,0.307
0.25,0.95,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.992288,1.000,0.545889,0.571,0.268143,0.350
0.25,0.95,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.993274,1.000,0.579335,0.600,0.304639,0.377
0.25,0.95,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.994175,1.000,0.607909,0.629,0.334727,0.404
0.35,0.33,1,0.795240,0.807,0.786612,0.794,0.668933,0.691,0.728457,0.734,0.108813,0.176,0.012691,0.050
0.35,0.33,2,0.875748,0.870,0.853997,0.852,0.683334,0.692,0.785142,0.790,0.296495,0.347,0.044629,0.102
0.35,0.33,3,0.924615,0.919,0.893010,0.888,0.716818,0.721,0.832762,0.829,0.471353,0.498,0.088615,0.152
0.35,0.33,4,0.954269,0.953,0.917088,0.914,0.780042,0.777,0.871599,0.874,0.611612,0.625,0.139492,0.206
0.35,0.33,5,0.972260,0.971,0.932882,0.932,0.863117,0.855,0.902511,0.898,0.717739,0.714,0.193613,0.254
0.35,0.33,6,0.983174,0.980,0.943825,0.943,0.932459,0.927,0.926638,0.923,0.795957,0.783,0.248464,0.306
0.35,0.33,7,0.989794,0.990,0.951772,0.950,0.971586,0.970,0.945180,0.935,0.852884,0.849,0.302370,0.346
0.35,0.33,8,0.993810,0.992,0.957775,0.954,0.988964,0.988,0.959261,0.948,0.894063,0.886,0.354270,0.392
0.45,0.32,1,0.630482,0.729,0.635981,0.721,0.552120,0.632,0.578501,0.672,0.087643,0.156,0.010460,0.045
0.45,0.32,2,0.747447,0.787,0.790763,0.776,0.571600,0.648,0.612155,0.702,0.235239,0.307,0.036663,0.092
0.45,0.32,3,0.898744,0.846,0.856292,0.822,0.616896,0.680,0.644923,0.731,0.371310,0.442,0.072458,0.140
0.45,0.32,4,0.938574,0.859,0.888633,0.900,0.702425,0.748,0.676336,0.760,0.481478,0.554,0.113423,0.184
0.45,0.32,5,0.962740,0.953,0.909847,0.909,0.814811,0.851,0.706029,0.777,0.567505,0.643,0.156462,0.229
0.45,0.32,6,0.977399,0.980,0.924546,0.932,0.908623,0.917,0.733761,0.803,0.634486,0.703,0.199493,0.274
0.45,0.32,7,0.986291,0.988,0.935220,0.941,0.961558,0.966,0.759405,0.818,0.687205,0.746,0.241180,0.318
0.45,0.32,8,0.991685,0.992,0.943283,0.948,0.985069,0.986,0.782931,0.833,0.729381,0.785,0.280731,0.352
0.58,0.03,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.977973,1.000,0.126814,0.217,0.018792,0.074
0.58,0.03,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.974338,1.000,0.284616,0.356,0.063650,0.146
0.58,0.03,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.969763,1.000,0.392861,0.445,0.120020,0.208
0.58,0.03,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.964764,1.000,0.461707,0.496,0.178002,0.266
0.58,0.03,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.959713,1.000,0.506661,0.532,0.232008,0.315
0.58,0.03,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.954829,1.000,0.537780,0.557,0.279576,0.359
0.58,0.03,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.950228,1.000,0.560785,0.571,0.320171,0.393
0.58,0.03,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.945959,1.000,0.578884,0.585,0.354259,0.416
0.24,0.07,1,0.587697,0.817,0.572548,0.796,0.391601,0.689,0.513112,0.770,0.064285,0.159,0.007194,0.052
0.24,0.07,2,0.737734,0.895,0.695654,0.889,0.412899,0.690,0.634121,0.824,0.181822,0.301,0.025427,0.101
0.24,0.07,3,0.836442,0.951,0.771944,0.923,0.464268,0.726,0.734358,0.882,0.298688,0.413,0.050846,0.146
0.24,0.07,4,0.899147,0.967,0.820863,0.936,0.568257,0.794,0.809962,0.926,0.399224,0.487,0.080699,0.192
0.24,0.07,5,0.938223,0.982,0.853710,0.938,0.718656,0.859,0.863234,0.947,0.481548,0.543,0.112994,0.232
0.24,0.07,6,0.962307,0.986,0.876821,0.948,0.856010,0.933,0.899094,0.968,0.548068,0.598,0.146296,0.266
0.24,0.07,7,0.977056,0.991,0.893786,0.951,0.938205,0.970,0.922578,0.981,0.601998,0.637,0.179583,0.302
0.24,0.07,8,0.986053,0.994,0.906700,0.959,0.975790,0.987,0.937764,0.985,0.646216,0.668,0.212145,0.335
0.45,0.79,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.985761,1.000,0.144192,0.232,0.018954,0.074
0.45,0.79,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.989954,1.000,0.357327,0.429,0.065589,0.146
0.45,0.79,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.992955,1.000,0.530195,0.571,0.127345,0.219
0.45,0.79,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.995065,1.000,0.655291,0.684,0.195257,0.281
0.45,0.79,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.996540,1.000,0.743753,0.756,0.263444,0.343
0.45,0.79,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.997572,1.000,0.806662,0.812,0.328403,0.400
0.45,0.79,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.998297,1.000,0.852084,0.854,0.388315,0.450
0.45,0.79,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.998808,1.000,0.885463,0.896,0.442473,0.499
0.24,0.27,1,0.664132,0.798,0.651462,0.792,0.496734,0.687,0.601832,0.763,0.084658,0.175,0.009274,0.050
0.24,0.27,2,0.788144,0.879,0.753611,0.846,0.515194,0.695,0.701267,0.828,0.243048,0.341,0.032871,0.099
0.24,0.27,3,0.868508,0.916,0.816094,0.884,0.559342,0.722,0.782657,0.877,0.402533,0.488,0.065993,0.153
0.24,0.27,4,0.919144,0.949,0.855879,0.904,0.647349,0.773,0.845268,0.907,0.539244,0.593,0.105242,0.208
0.24,0.27,5,0.950553,0.970,0.882482,0.923,0.772128,0.843,0.891274,0.935,0.648752,0.688,0.148149,0.252
0.24,0.27,6,0.969860,0.980,0.901149,0.940,0.884130,0.925,0.924020,0.954,0.733622,0.760,0.192905,0.305
0.24,0.27,7,0.981664,0.989,0.914826,0.943,0.950444,0.969,0.946862,0.965,0.798312,0.815,0.238191,0.344
0.24,0.27,8,0.988859,0.994,0.925224,0.952,0.980614,0.986,0.962621,0.976,0.847228,0.858,0.283053,0.380
0.41,0.85,1,0.587381,0.799,0.572296,0.796,0.388922,0.679,0.490496,0.712,0.067871,0.168,0.007277,0.050
0.41,0.85,2,0.738234,0.875,0.696344,0.855,0.410037,0.698,0.595149,0.764,0.198889,0.309,0.025832,0.099
0.41,0.85,3,0.836626,0.921,0.772314,0.885,0.461088,0.733,0.686979,0.792,0.335723,0.430,0.051977,0.149
0.41,0.85,4,0.899215,0.947,0.821085,0.912,0.564883,0.781,0.762597,0.841,0.457734,0.528,0.083113,0.187
0.41,0.85,5,0.938248,0.973,0.853855,0.927,0.715823,0.857,0.822153,0.865,0.559720,0.600,0.117352,0.237
0.41,0.85,6,0.962316,0.983,0.876923,0.942,0.854312,0.929,0.867713,0.892,0.642495,0.672,0.153304,0.272
0.41,0.85,7,0.977059,0.990,0.893861,0.950,0.937420,0.971,0.901950,0.912,0.708829,0.723,0.189944,0.306
0.41,0.85,8,0.986055,0.994,0.906758,0.953,0.975473,0.987,0.927417,0.933,0.761786,0.771,0.226518,0.345
0.32,0.69,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.984057,1.000,0.146605,0.236,0.018975,0.075
0.32,0.69,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.987234,1.000,0.367512,0.435,0.065851,0.148
0.32,0.69,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.989767,1.000,0.549106,0.586,0.128353,0.218
0.32,0.69,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.991786,1.000,0.680979,0.702,0.197677,0.288
0.32,0.69,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.993404,1.000,0.773603,0.784,0.267938,0.349
0.32,0.69,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.994708,1.000,0.838379,0.840,0.335513,0.407
0.32,0.69,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.995764,1.000,0.883935,0.890,0.398410,0.460
0.32,0.69,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.996619,1.000,0.916234,0.921,0.455743,0.510
0.38,0.59,1,0.997575,1.000,0.997473,1.000,0.980435,1.000,0.984216,1.000,0.152042,0.242,0.019028,0.074
0.38,0.59,2,0.998529,1.000,0.998271,1.000,0.981289,1.000,0.987649,1.000,0.388745,0.459,0.066493,0.146
0.38,0.59,3,0.999108,1.000,0.998733,1.000,0.983276,1.000,0.990451,1.000,0.585282,0.617,0.130835,0.221
0.38,0.59,4,0.999459,1.000,0.999019,1.000,0.987021,1.000,0.992695,1.000,0.725587,0.742,0.203676,0.294
0.38,0.59,5,0.999672,1.000,0.999206,1.000,0.991933,1.000,0.994461,1.000,0.820155,0.826,0.279156,0.360
0.38,0.59,6,0.999801,1.000,0.999335,1.000,0.996023,1.000,0.995832,1.000,0.882392,0.889,0.353364,0.420
0.38,0.59,7,0.999879,1.000,0.999429,1.000,0.998328,1.000,0.996884,1.000,0.922986,0.925,0.423848,0.482
0.38,0.59,8,0.999927,1.000,0.999500,1.000,0.999351,1.000,0.997684,1.000,0.949417,0.950,0.489211,0.540
0.46,0.04,1,0.272471,0.732,0.277534,0.729,0.122478,0.635,0.179692,0.673,0.022261,0.144,0.002078,0.046
0.46,0.04,2,0.544140,0.833,0.508772,0.836,0.144192,0.665,0.258337,0.712,0.073906,0.259,0.007445,0.089
0.46,0.04,3,0.726415,0.919,0.624381,0.896,0.200562,0.718,0.343734,0.763,0.139083,0.342,0.015183,0.130
0.46,0.04,4,0.828957,0.956,0.701435,0.931,0.329285,0.814,0.429171,0.787,0.208367,0.401,0.024682,0.171
0.46,0.04,5,0.894379,0.977,0.754339,0.957,0.542261,0.902,0.509616,0.826,0.276385,0.461,0.035508,0.210
0.46,0.04,6,0.935247,0.988,0.792090,0.972,0.757673,0.958,0.582131,0.854,0.340280,0.500,0.047340,0.233
0.46,0.04,7,0.960471,0.993,0.820068,0.977,0.894170,0.987,0.645500,0.880,0.398730,0.541,0.059932,0.265
0.46,0.04,8,0.975931,0.998,0.841515,0.981,0.958228,0.995,0.699647,0.900,0.451327,0.568,0.073090,0.284
0.38,0.94,1,0.728172,0.742,0.721906,0.718,0.571589,0.635,0.625242,0.674,0.081099,0.147,0.010676,0.046
0.38,0.94,2,0.835040,0.833,0.806318,0.806,0.590223,0.643,0.681197,0.715,0.202722,0.263,0.036642,0.092
0.38,0.94,3,0.894624,0.901,0.861356,0.861,0.633550,0.662,0.731192,0.747,0.306890,0.356,0.070392,0.132
0.38,0.94,4,0.940739,0.944,0.892558,0.894,0.715361,0.727,0.774919,0.779,0.389998,0.413,0.106726,0.172
0.38,0.94,5,0.964053,0.964,0.913025,0.916,0.822862,0.830,0.812543,0.803,0.456996,0.478,0.142491,0.212
0.38,0.94,6,0.978195,0.978,0.927205,0.923,0.912596,0.911,0.844512,0.822,0.512369,0.518,0.176060,0.232
0.38,0.94,7,0.986774,0.985,0.937503,0.933,0.963229,0.960,0.871418,0.845,0.559166,0.548,0.206796,0.267
